,선수,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR+,WPA,생일
237,조형우22SC,9,13,12,2,2,1,0,0,3,1,0,0,1,0,0,3,0,0,0,,,,,,,-0.02,-0.10,2002-04-04
238,강민국22키SS,3,4,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,,,,,,,-0.03,0.24,1992-01-10
239,김세민22롯2B,4,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,,,,,,,-0.03,0.00,2003-06-14
240,김기연22LC,12,9,9,0,2,0,0,0,2,1,0,0,0,0,0,3,0,0,0,,,,,,,-0.03,-0.06,1997-09-07
241,박민22KSS,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,-0.04,-0.01,2001-06-05
242,임석진22K3B,10,17,14,4,1,0,0,1,4,1,0,0,2,1,0,9,1,0,0,,,,,,,-0.04,-0.15,1997-10-10
243,최민창22LLF,4,5,5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,,,,-0.04,-0.15,1996-04-16
244,이천웅22L,19,23,20,3,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,,,,,,,-0.04,-0.01,1988-10-20
245,이유찬22두SS,13,31,29,3,7,0,0,1,10,2,1,1,0,0,0,12,0,1,1,,,,,,,-0.04,-0.18,1998-08-05
246,권민석22두3B,16,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,-0.04,-0.02,1999-02-20
247,박정우22KCF,14,3,3,1,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,,,,,,,-0.04,0.11,1998-02-01
248,강로한22롯DH,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,-0.04,-0.08,1992-05-13
249,이명기22키DH,2,4,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,,,,,,,-0.04,-0.06,2000-01-03
250,홍현빈22KRF,61,92,76,8,18,2,0,0,20,1,4,0,10,0,0,26,1,6,0,,,,,,,-0.04,-0.77,1997-08-29
251,안익훈22L,14,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,-0.05,-0.03,1996-02-12
252,허관회22한DH,15,25,23,3,5,2,0,0,7,1,1,0,1,0,0,7,2,1,0,,,,,,,-0.05,0.08,1999-02-12
253,오태양22N,15,4,3,5,0,0,0,0,0,0,2,2,0,1,0,1,0,0,0,,,,,,,-0.05,-0.16,2002-04-25
254,김호은22L1B,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,-0.05,-0.06,1992-01-03
255,이재현22삼SS,75,239,230,23,54,4,0,7,79,23,0,0,5,1,0,44,6,3,0,,,,,,,-0.05,-0.82,2003-02-04
256,김웅빈22키DH,45,135,115,17,26,5,1,1,36,11,0,2,13,4,1,38,2,3,0,,,,,,,-0.05,-0.84,1996-02-09
257,문상인22K,12,3,3,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,,,,,,,-0.06,-0.01,1998-01-31
258,전민수22NDH,20,41,40,3,11,2,0,0,13,2,0,0,1,0,0,14,0,0,0,,,,,,,-0.06,0.26,1989-03-18
259,김재호22두SS,102,264,223,26,48,7,0,1,58,21,0,2,28,2,0,33,5,7,4,,,,,,,-0.06,-1.91,1985-03-21
260,이상호22L2B,60,80,72,9,18,2,0,0,20,5,1,2,4,1,0,6,1,3,0,,,,,,,-0.06,-0.24,1989-02-05
261,정범모22NC,5,7,7,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,,,,,,,-0.07,-0.01,1987-03-26
262,신범수22KC,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,-0.07,-0.07,1998-01-25
263,류승현22K,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,-0.07,0.15,1997-07-01
264,김수환22키1B,57,168,140,18,25,6,0,4,43,14,0,0,21,3,0,56,0,3,1,,,,,,,-0.07,-0.63,1998-03-20
265,김민수22롯RF,5,7,7,0,1,0,0,0,1,1,0,0,0,0,0,4,0,0,0,,,,,,,-0.08,-0.02,1996-06-11
266,이영빈22L2B,60,83,76,16,14,3,0,1,20,5,0,0,7,0,0,25,3,0,0,,,,,,,-0.08,-0.73,2002-06-17
267,김영웅22삼3B,12,15,15,2,2,0,0,1,5,1,0,0,0,0,0,7,0,0,0,,,,,,,-0.08,-0.16,2003-08-24
268,석정우22S2B,9,9,9,1,2,0,0,0,2,0,0,1,0,0,0,3,0,0,0,,,,,,,-0.09,-0.11,1999-01-20
269,조대현22K,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,,,,,,-0.09,-0.12,1999-08-06
270,정진기22NCF,39,59,53,4,10,2,0,1,15,4,1,0,6,0,0,19,1,0,0,,,,,,,-0.09,-0.59,1992-10-10
271,김수윤22N1B,10,18,17,1,2,1,0,1,6,2,0,0,1,0,0,7,0,0,0,,,,,,,-0.09,-0.01,1998-07-16
272,이시원22KRF,31,16,15,6,2,0,0,0,2,1,2,0,0,1,0,4,0,0,0,,,,,,,-0.09,-0.05,1996-07-24
273,신민재22LCF,14,3,3,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,,,,,,,-0.10,0.01,1996-01-21
274,예진원22키LF,20,14,10,0,1,0,0,0,1,0,0,0,3,0,0,3,0,1,0,,,,,,,-0.10,-0.20,1999-03-16
275,김재현22S3B,18,20,18,2,4,1,0,0,5,4,0,0,0,0,0,3,2,2,0,,,,,,,-0.10,0.17,1991-08-30
276,장진혁22한RF,41,132,116,11,27,2,0,2,35,17,2,1,12,0,0,28,1,1,3,,,,,,,-0.10,-0.99,1993-09-30
277,허인서22한C,8,19,18,1,3,0,0,0,3,0,0,0,1,0,0,8,0,0,0,,,,,,,-0.11,-0.20,2003-07-11
278,장두성22롯CF,53,28,23,7,4,0,0,0,4,0,4,1,5,0,0,11,0,0,0,,,,,,,-0.11,-0.32,1999-09-16
279,장승현22두C,60,109,96,6,20,3,0,0,23,9,0,0,5,4,0,27,2,3,1,,,,,,,-0.12,-0.69,1994-03-07
280,오준혁22SRF,47,67,61,3,14,2,0,0,16,6,0,0,5,0,0,15,4,1,0,,,,,,,-0.12,-0.54,1992-03-11
281,유준규22KDH,7,16,14,3,3,0,0,0,3,0,0,0,1,0,0,6,0,1,0,,,,,,,-0.12,-0.17,2002-08-16
282,김규남22SRF,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,,,,,,,-0.13,-0.09,1995-05-12
283,김준완22키LF,111,398,317,43,60,10,2,1,77,28,1,1,64,8,0,71,4,6,3,,,,,,,-0.13,-0.86,1991-01-20
284,양승혁22K2B,11,5,5,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,,,,,,,-0.13,-0.03,1999-09-29
285,이정훈22KDH,6,10,8,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,,,,,,,-0.13,-0.22,1994-12-07
286,김재현22키C,56,88,82,4,17,4,0,1,24,8,0,0,2,1,0,19,3,2,1,,,,,,,-0.13,-0.66,1993-03-18
287,박승욱22롯SS,100,228,198,29,45,7,2,1,59,16,8,2,16,2,0,69,1,12,0,,,,,,,-0.13,-0.61,1992-12-04
288,한석현22LRF,6,10,9,1,2,0,0,0,2,0,0,1,0,0,0,3,0,1,0,,,,,,,-0.14,-0.21,1994-05-17
289,최상민22SLF,27,18,14,3,1,0,0,0,1,1,3,1,3,0,0,4,0,1,0,,,,,,,-0.14,0.27,1999-08-20
290,윤동희22롯1B,4,13,13,1,2,1,0,0,3,1,0,0,0,0,0,2,1,0,0,,,,,,,-0.14,-0.25,2003-09-18
291,공민규22삼1B,15,22,19,0,3,0,0,0,3,2,0,0,1,1,0,10,0,0,1,,,,,,,-0.14,-0.22,1999-09-27
292,추재현22롯RF,33,66,58,10,13,4,0,0,17,5,1,0,7,1,0,17,1,0,0,,,,,,,-0.14,-0.53,1999-02-22
293,이태훈22삼DH,10,18,17,2,3,0,0,0,3,0,0,0,1,0,0,6,0,0,0,,,,,,,-0.15,0.09,1995-04-03
294,김시앙22키C,13,14,12,1,1,0,0,0,1,0,0,0,1,0,0,8,1,1,0,,,,,,,-0.16,-0.17,2001-10-31
295,이현석22SC,9,15,15,0,2,0,0,0,2,1,0,0,0,0,0,5,1,0,0,,,,,,,-0.16,-0.31,1992-06-07
296,이호연22롯3B,88,222,205,20,50,10,1,2,68,16,3,1,11,2,1,38,5,4,0,,,,,,,-0.16,-1.79,1995-06-03
297,서호철22N2B,89,214,195,26,40,8,0,2,54,14,3,1,12,4,0,41,6,3,0,,,,,,,-0.17,-1.68,1996-10-16
298,최영진22삼3B,43,91,80,5,15,4,0,2,25,10,2,2,8,2,0,20,2,1,0,,,,,,,-0.18,-0.05,1988-05-10
299,이진영22한RF,70,240,220,27,44,12,1,8,82,31,2,2,17,0,0,90,4,0,3,,,,,,,-0.18,-1.90,1997-07-21
300,신성현22두LF,17,25,23,3,2,0,0,1,5,2,1,0,2,0,0,5,2,0,0,.087,.160,.217,.377,.178,4.4,-0.19,-0.21,1990-10-19
301,이흥련22SC,22,55,45,4,6,2,0,0,8,1,0,0,5,2,0,22,2,3,0,.133,.250,.178,.428,.209,18.1,-0.19,-0.48,1989-05-16
302,크론22S1B,67,259,243,21,54,13,1,11,102,35,0,0,9,3,0,68,3,0,4,.222,.255,.420,.675,.300,78.7,-0.20,-0.75,1993-02-17
303,홍성호22두RF,12,19,18,3,3,0,0,0,3,0,0,0,1,0,0,7,1,0,0,.167,.211,.167,.377,.187,3.4,-0.20,-0.28,1997-07-15
304,박석민22N3B,16,58,47,3,7,2,0,0,9,2,0,0,9,1,0,8,3,1,0,.149,.298,.191,.490,.251,48.2,-0.20,-0.32,1985-06-22
305,한승택22KC,65,119,102,11,18,2,0,1,23,11,0,0,9,3,0,30,2,4,1,.176,.261,.225,.486,.232,34.7,-0.21,-0.82,1994-06-21
306,안주형22삼2B,18,23,20,2,3,0,0,0,3,2,0,0,1,0,0,6,0,1,1,.150,.182,.150,.332,.154,-18.2,-0.21,-0.25,1993-08-14
307,박준태22키RF,52,84,70,9,11,4,0,1,18,10,0,0,11,2,0,33,0,1,0,.157,.289,.257,.546,.267,61.5,-0.22,-0.55,1991-07-26
308,김성표22삼CF,17,18,17,5,2,0,0,0,2,0,2,0,1,0,0,5,0,0,0,.118,.167,.118,.284,.145,-24.7,-0.22,-0.21,1994-03-17
309,천재환22NCF,29,36,35,4,5,1,0,1,9,1,1,0,0,1,0,11,1,0,0,.143,.167,.257,.424,.194,9.2,-0.23,-0.80,1994-04-01
310,서예일22두2B,35,27,25,2,4,1,0,0,5,2,0,0,1,0,0,6,1,1,0,.160,.192,.200,.392,.180,0.6,-0.24,-0.20,1993-06-19
311,원혁재22한LF,11,23,21,2,2,1,0,0,3,0,0,0,2,0,0,12,0,0,0,.095,.174,.143,.317,.161,-13.2,-0.25,-0.30,1995-01-29
312,윤정빈22삼,13,10,10,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,.000,.000,.000,.000,.000,-124.0,-0.25,-0.11,1999-06-24
313,이해창22한C,4,11,10,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,.000,.000,.000,.000,.000,-124.0,-0.25,-0.23,1987-05-11
314,루이즈22L3B,27,94,84,10,13,4,1,1,22,6,1,0,9,0,0,13,5,0,1,.155,.234,.262,.496,.235,39.5,-0.25,-0.90,1994-05-22
315,김규성22K2B,70,52,50,14,9,0,1,1,14,4,0,0,1,0,0,12,0,1,0,.180,.196,.280,.476,.213,22.3,-0.25,-0.58,1997-03-08
316,정훈22롯1B,91,340,294,39,72,8,0,3,89,32,4,1,32,2,0,66,6,6,6,.245,.317,.303,.620,.290,73.4,-0.25,-0.68,1987-07-18
317,김태훈22K1B,7,10,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000,.000,-124.0,-0.26,-0.27,1996-03-31
318,이성규22삼DH,13,34,27,5,2,0,0,0,2,1,0,0,5,2,0,8,1,0,0,.074,.265,.074,.339,.205,17.8,-0.26,-0.14,1993-08-03
319,강진성22두1B,40,94,80,7,13,2,0,1,18,8,4,0,11,2,1,20,2,1,0,.163,.280,.225,.505,.245,46.2,-0.26,-0.49,1993-10-19
320,오재원22두2B,18,31,29,2,5,2,0,0,7,4,1,2,1,0,0,9,1,0,1,.172,.194,.241,.435,.199,14.8,-0.27,0.18,1985-02-09
321,임종찬22한RF,20,57,53,2,10,1,0,2,17,6,0,1,3,0,1,23,1,0,1,.189,.228,.321,.549,.241,41.6,-0.28,-0.12,2001-09-28
322,김호재22삼2B,21,29,28,1,4,1,0,0,5,1,0,0,1,0,0,9,1,0,0,.143,.172,.179,.351,.168,-8.6,-0.28,-0.43,1995-05-31
323,이원석22한CF,20,39,35,4,4,0,0,1,7,1,0,0,3,0,0,18,1,1,0,.114,.184,.200,.384,.181,0.4,-0.29,-0.52,1999-03-31
324,이주형22키DH,32,85,71,7,12,0,0,1,15,8,0,0,10,3,0,27,0,0,1,.169,.294,.211,.505,.257,55.7,-0.29,-0.39,2002-07-05
325,권동진22K2B,46,40,38,9,5,1,1,0,8,4,4,0,1,0,0,16,0,1,0,.132,.154,.211,.364,.163,-12.6,-0.29,-0.26,1998-09-12
326,이병규22키1B,24,40,38,7,7,1,1,0,10,5,1,0,2,0,0,11,0,0,0,.184,.225,.263,.488,.228,32.1,-0.30,-0.21,1994-10-05
327,이성곤22한1B,41,117,99,6,19,5,0,0,24,5,1,1,17,0,0,32,0,0,1,.192,.308,.242,.550,.273,64.0,-0.31,-0.47,1992-03-25
328,전병우22키1B,115,231,197,14,40,7,0,5,62,21,0,0,17,7,0,68,5,9,1,.203,.288,.315,.603,.275,68.2,-0.31,-0.01,1992-10-24
329,최항22SDH,15,24,20,0,2,0,0,0,2,1,0,0,2,1,0,7,0,0,1,.100,.208,.100,.308,.170,-8.9,-0.31,-0.24,1994-01-03
330,정민규22한1B,9,24,23,3,3,0,0,0,3,0,0,0,0,1,0,11,0,0,0,.130,.167,.130,.297,.149,-21.7,-0.31,-0.14,2003-01-10
331,김병희22K1B,41,85,74,8,15,2,0,1,20,6,0,3,7,3,0,26,2,0,1,.203,.294,.270,.564,.274,63.0,-0.31,-0.37,1990-12-06
332,도태훈22N3B,90,163,139,18,30,7,0,2,43,13,0,0,13,1,0,23,5,7,3,.216,.282,.309,.591,.265,58.6,-0.34,-1.80,1993-03-18
333,박승규22삼CF,62,83,74,10,16,2,0,0,18,4,2,0,3,0,0,15,0,5,1,.216,.244,.243,.487,.217,24.6,-0.35,-0.67,2000-09-02
334,송준석22삼RF,17,32,29,3,4,0,0,0,4,1,0,0,1,1,0,5,1,1,0,.138,.194,.138,.332,.164,-11.5,-0.36,-0.56,1994-05-04
335,배성근22롯2B,22,41,39,3,5,1,0,0,6,0,0,0,2,0,0,12,3,0,0,.128,.171,.154,.325,.159,-16.5,-0.37,-0.70,1995-04-27
336,최정용22K2B,30,23,22,5,2,0,0,0,2,0,0,0,0,0,0,6,0,1,0,.091,.091,.091,.182,.082,-67.7,-0.37,-0.37,1996-10-24
337,윤형준22N1B,35,69,67,5,14,1,0,1,18,5,1,0,1,1,0,21,1,0,0,.209,.232,.269,.501,.234,38.4,-0.38,-0.70,1994-01-31
338,김한별22NSS,24,23,21,0,2,0,0,0,2,0,0,1,0,0,0,6,0,2,0,.095,.095,.095,.191,.082,-66.8,-0.38,-0.39,2001-01-18
339,이해승22삼SS,46,106,99,11,23,3,0,0,26,5,0,0,1,0,0,29,1,6,0,.232,.240,.263,.503,.222,28.3,-0.38,-0.34,2000-08-01
340,김석환22KLF,51,107,94,15,14,2,0,3,25,7,0,0,10,3,0,32,1,0,0,.149,.252,.266,.518,.250,47.0,-0.39,-1.07,1999-02-28
341,이학주22롯SS,91,260,232,29,48,11,1,3,70,15,2,4,16,2,0,54,3,9,1,.207,.263,.302,.565,.256,49.3,-0.40,-1.92,1990-11-04
342,이용규22키LF,86,326,271,34,54,6,0,0,60,21,12,2,45,7,0,42,7,1,2,.199,.326,.221,.548,.278,67.7,-0.41,0.64,1985-08-26
343,신본기22KSS,74,138,121,9,22,3,0,1,28,8,0,1,10,2,0,28,5,4,1,.182,.254,.231,.485,.230,32.6,-0.47,-1.75,1989-03-21
344,김응민22NC,34,75,67,7,9,1,0,1,13,5,0,0,3,2,0,12,3,2,1,.134,.192,.194,.386,.182,1.2,-0.47,-0.64,1991-10-22
345,김동엽22삼DH,30,100,95,9,21,5,0,2,32,4,0,3,4,0,0,22,1,0,1,.221,.250,.337,.587,.268,58.4,-0.48,-0.41,1990-07-24
346,한태양22롯SS,38,72,61,14,9,1,0,0,10,3,1,0,5,2,0,24,1,4,0,.148,.235,.164,.399,.194,7.2,-0.49,-0.19,2003-09-15
347,강태율22롯C,19,38,32,0,3,1,0,0,4,3,0,0,2,1,0,9,2,3,0,.094,.171,.125,.296,.142,-28.1,-0.52,-0.48,1996-11-01
348,송민섭22KRF,119,72,64,17,10,1,2,0,15,3,0,2,5,0,0,19,0,3,0,.156,.217,.234,.452,.206,17.1,-0.53,-0.59,1991-08-02
349,김성현22S2B,130,359,302,38,66,9,1,2,83,37,3,3,31,3,0,36,13,20,3,.219,.295,.275,.570,.259,53.9,-0.58,-0.25,1987-03-09
350,이도윤22한SS,80,126,113,9,18,7,0,1,28,8,3,2,8,0,0,30,1,4,1,.159,.213,.248,.461,.210,20.5,-0.69,-1.37,1996-10-07
351,박대온22NC,59,133,127,8,23,4,0,1,30,10,0,0,0,2,0,37,4,3,1,.181,.192,.236,.429,.194,10.5,-0.75,-1.69,1995-08-28
352,조세진22롯RF,39,88,86,6,16,3,0,0,19,6,0,1,1,0,0,25,4,1,0,.186,.195,.221,.416,.192,5.7,-0.76,-0.64,2003-11-21
353,유로결22한LF,30,68,60,5,8,0,0,0,8,4,0,0,4,1,0,9,1,3,0,.133,.200,.133,.333,.164,-11.4,-0.82,-1.05,2000-05-30
354,정보근22롯C,95,226,199,8,38,2,0,1,43,15,1,0,14,2,0,55,4,10,1,.191,.250,.216,.466,.218,24.1,-0.91,-1.78,1999-08-31
355,박경수22K2B,100,194,166,13,20,3,0,3,32,10,0,0,24,1,0,70,3,2,1,.120,.234,.193,.427,.213,21.9,-1.01,-2.16,1984-03-31
356,김헌곤22삼CF,80,239,224,18,43,8,0,1,54,20,3,1,9,1,0,22,10,2,3,.192,.224,.241,.465,.217,24.6,-1.58,-2.24,1988-11-09
